course_code,course_title,department,document_url,source_page_url,source_name,audit_status,academic_year,term,course_code_found,page_count,pdf_sha256,evidence,rejection_reason
CIVENG 2B04,Principles of Environmental Engineering,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/course-outline-2B04.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,11,992f790fa477531d15ac103ceab8794d6afd6bf8c543f9803a616cae0f75bbe2,document: fall 2025; matching course code,
CIVENG 2P04,Statics and Mechanics of Materials,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/Course-Outline_2P04_Fall2025.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,8,d457986f6ee516bbff97adf194fd1452911c1ba8a27b02bcb801b6f72dcc5d2f,filename: fall2025; matching course code,
CIVENG 2X03,Introduction to Civil Engineering,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/08/CE2X03.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,10,a6277499a5d70accd96b704e6f9d800cb5a1d4febdd55deede2cff7614bf1f8e,visual: Course Outline; Session Offered Fall 2025,
CIVENG 3C03,Engineering Systems,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/Fall-2025-CIVENG-3C03-C01-ABDELMOM-Engineering-Systems.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,11,6b90eb1d5fa33e223ab161174cb9b47ad51c27148657f8127bcb72b629b6fa25,filename: fall-2025; matching course code,
CIVENG 3G04,Structural Analysis,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CE3G04-2025-26-COURSE-OUTLINE.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,6,ab9ccd056fab85c41a5c2a944ec52919f12d37344d6243d442d57ea284ca194d,document: fall 2025; matching course code,
CIVENG 3K03,Introduction to Transportation Engineering,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/Fall-2025-CIVENG-3K03-T02-RAZAVI-Introduction-to-Transportation-Engineering.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,13,6e468f6f21f4c789f9c7d96f46960ada05e52bfcb125d6a3d56ddeaea5976af4,visual: CIVENG 3K03; Fall 2025,
CIVENG 3P04,Civil Engineering Materials and Design,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/Course-Outline_CIVEN-3P04_Fall-2025.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,8,ae69d38e6940968c2755cab26201c7663b000c75b378806ca1c553171eada39a,filename: fall-2025; matching course code,
CIVENG 4A04,Engineering Hydrology,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/08/Fall-2024-CIVENG-4A04-IRANNEA-.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2024,fall,True,10,560ed2f44e053c50f413c9a16be658020fc1876223019d19a727af5a13cbaa98,visual: CIVENG 4A04; Fall 2024,
CIVENG 4BP4,Building Science,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CE4BP4-COURSE-OUTLINE.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,7,2b9a62c14f507f37a30d34396eda3649c85dd64c37ebaec4e26bfb23a6288662,document: fall 2025; matching course code,
CIVENG 4G04,Pavement Materials and Design,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVENG-4G04-Course-Outline-Fall-2025.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,8,a2c88c457a13af31aea213203779f1568b196f72431e70144fc6a13db1776d76,filename: fall-2025; matching course code,
CIVENG 4K04,Modern Methods of Structural Analysis,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/2025-26-4K04-COURSE-OUTLINE.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,7,1bf4b4859f339086022c6c0127545e8d59e36914b6d49c380b34302ffcd48d14,document: fall 2025; matching course code,
CIVENG 4N04,Steel Structures,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/4N04-Course-Outline-2025_v2.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,10,60a82443c1d34a87dbc2bf51032b49d50e3d05c60d3e875f9c1efd34ceef607c,document: fall 2025; matching course code,
CIVENG 4S04,Foundation Engineering,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CE-4S04-Course-Outline-Fall-2025.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,6,5f62ddb3a5dd587bea6b85c1f7517c57e3bd7a6ee41bce10107ba7d233a02c9b,filename: fall-2025; matching course code,
CIVTECH 3GE3,Geotechnical Materials and Analysis,CIVTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVTECH-3GE3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,5,8c7951bf3760ec497078a005cabeb1a3c461a6bba1a6f5848a6967c14887fc06,filename: fall-2023; matching course code,
CIVTECH 3SA3,Structural Analysis,CIVTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVTECH-3SA3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,5,93c0d52d1ba74896f16e4d61c7164b270fb771f6bfd03a00940ecff400a63ad1,filename: fall-2023; matching course code,
CIVTECH 4BC3,Building Science,CIVTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVTECH-4BC3-Winter-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,winter,True,5,89b4cf4908e1ed37360054086894f96afc7c505a25410169cdbbdaf532452df8,filename: winter-2023; matching course code,
