course_code,course_title,department,outline_status,preferred_source_kind,preferred_source_name,preferred_academic_year,preferred_term,preferred_professors,preferred_document_urls,preferred_source_page_url,needs_review
CHEM 4RP6A,Research Project in Chemistry,CHEM,missing,,,,,,,,False
CHEM 4RP6S,Research Project in Chemistry,CHEM,missing,,,,,,,,False
CHEMBME 5P06A,Integrated Chemical & Biomedical Engineering Capstone Design Project,CHEMBME,missing,,,,,,,,False
CHEMENG 2D04,Chemical Engineering Principles I,CHEMENG,found,official_department,engineering_chemical,,,Drew Higgins,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-2D04_Course-Outline_F2025-tentative.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 2DW1,Problem Solving Strategies,CHEMENG,found,official_department,engineering_chemical,,,Jake Nease,https://www.eng.mcmaster.ca//app/uploads/2025/09/2DW1_Syllabus_2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 2E04,Numerical Methods and Computing for Chemical Engineers,CHEMENG,found,official_department,engineering_chemical,,,Stuart Linley,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-2E04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 3BK3,Bio-Reaction Engineering,CHEMENG,found,official_department,engineering_chemical,,,Vince Leung,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-3BK3_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 3D04,Chemical Engineering Thermodynamics,CHEMENG,found,official_department,engineering_chemical,,,Li Xi,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-3D04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 3TP6,Transport Phenomena,CHEMENG,found,official_department,engineering_chemical,,,Shelir Ebrahimi; Zeinab Hosseinidoust,https://www.eng.mcmaster.ca//app/uploads/2025/09/CHEMENG-3TP6_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 3U04,Unit Operations,CHEMENG,found,official_department,engineering_chemical,,,Vince Leung,https://www.eng.mcmaster.ca//app/uploads/2025/09/CHEMENG-3U04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
CHEMENG 4A03,Energy Systems Engineering,CHEMENG,found,official_department,engineering_chemical,,,Giancarlo Dalle Ave,https://www.eng.mcmaster.ca//app/uploads/2025/05/ChE4A03_CourseOutlineCleaned_2025_v01.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,True
