course_code,course_title,department,academic_year,term,section,professor_name,document_url,source_page_url,source_kind,source_name,source_priority,is_preferred,needs_review,retrieved_at
CHEMENG 3BK3,Bio-Reaction Engineering,CHEMENG,,,,Vince Leung,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-3BK3_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 3D04,Chemical Engineering Thermodynamics,CHEMENG,,,,Li Xi,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-3D04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 3D04,Chemical Engineering Thermodynamics,CHEMENG,,,,"Dalle Ave, Giancarlo",https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG3G04_CourseOutline_W2026.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,False,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 3TP6,Transport Phenomena,CHEMENG,,,,Shelir Ebrahimi; Zeinab Hosseinidoust,https://www.eng.mcmaster.ca//app/uploads/2025/09/CHEMENG-3TP6_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 3U04,Unit Operations,CHEMENG,,,,Vince Leung,https://www.eng.mcmaster.ca//app/uploads/2025/09/CHEMENG-3U04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 4A03,Energy Systems Engineering,CHEMENG,,,,Giancarlo Dalle Ave,https://www.eng.mcmaster.ca//app/uploads/2025/05/ChE4A03_CourseOutlineCleaned_2025_v01.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 4B03,Polymer Reaction Engineering,CHEMENG,,,,Boyang Zhang,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-4B03_6B03_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 4K03,Reactor Design for Heterogeneous Systems: Principles and Machine Learning Perspective,CHEMENG,,,,Prashant Mhaskar,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-4K03_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 4L03,Advanced Laboratory Skills,CHEMENG,,,,Tim Stephens,https://www.eng.mcmaster.ca//app/uploads/2024/01/4L03-Syllabus-Word-Doc-Aug-25-2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 4M03,Industrial Separation Processes,CHEMENG,,,,Raja Ghosh,https://www.eng.mcmaster.ca//app/uploads/2024/01/4M03CourseOutline2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
