course_code,course_title,department
ELECENG 4CL4,Control System Design,ELECENG
ELECENG 4EK4,Microelectronics,ELECENG
ELECENG 4FJ4,Devices and Antennas for Wireless Systems,ELECENG
ELECENG 4OI6A,Engineering Design,ELECENG
ELECENG 4OJ4,Research Project,ELECENG
ELECENG 4PK4,Power Electronics,ELECENG
ENGINEER 1EE0,Introduction to Career Planning & Employment,ENGINEER
ENGINEER 1P13A,Integrated Cornerstone Design Projects in Engineering,ENGINEER
ENGINEER 2EC0,Engineering Work Term,ENGINEER
ENGINEER 3IC0,Full-Time Internship for International Students,ENGINEER
ENGINEER 4A03,"Ethics, Equity and Law in Engineering",ENGINEER
ENGINEER 4EX3A,Experiential Engineering Design,ENGINEER
ENGLISH 1F03,The Written World,ENGLISH
ENGLISH 1G03,Making and Unmaking Literary Traditions,ENGLISH
ENGLISH 1H03,Words in Place,ENGLISH
ENGLISH 2BB3,Literature and Culture in the United States,ENGLISH
ENGLISH 2CC3,Settler Colonialism and Writing in Canada,ENGLISH
ENGLISH 2CW3,Genre in Creative Writing,ENGLISH
ENGLISH 2HT3,Shakespeare: Histories and Tragedies,ENGLISH
ENGLISH 2QA3,"Queer Writing, Art, and Activism: Reimagining the World",ENGLISH
ENGLISH 2TP3,Literary and Cultural Studies: Theory and Practice,ENGLISH
ENGLISH 3CP3,Writing Practices,ENGLISH
ENGLISH 3CR3,Writing Out,ENGLISH
ENGLISH 3GF3,Topics in Popular Genres,ENGLISH
ENGLISH 3NH3,Narratives of Health,ENGLISH
ENGLISH 3VC3,'We Other Victorians': Victorian Literature and Culture and Its Afterlives,ENGLISH
ENGLISH 3W03,Contemporary Indigenous Literature of Turtle Island,ENGLISH
ENGLISH 4CA3,Under the Gaze of the Nonhuman: Critical Animal Studies,ENGLISH
ENGLISH 4CF3,Contemporary Fiction,ENGLISH
ENGLISH 4E03,"Literature, Culture and Climate Catastrophe",ENGLISH
ENGLISH 4FW3,Forms of Creative Writing,ENGLISH
ENGLISH 4SD3,Sentenced to Death,ENGLISH
ENGLISH 4X03,Honours Essay,ENGLISH
ENGLISH 4Y03,Experiential Practicum I,ENGLISH
ENGLISH 4Y06A,Research Practicum,ENGLISH
ENGNMGT 2AA3,Communication Skills,ENGNMGT
ENGNMGT 4A03,Innovation Driven Project Development and Management,ENGNMGT
ENGNMGT 5B03,Engineering and Management Capstone,ENGNMGT
ENGPHYS 2CD4,Computational Mechanics: Dynamics,ENGPHYS
ENGPHYS 2E04,Analog and Digital Circuits,ENGPHYS
ENGPHYS 2NE3,Thermal Systems Design,ENGPHYS
ENGPHYS 2NM4,Numerical Methods for Engineering,ENGPHYS
ENGPHYS 3BA3,Circuits with Non-Linear and Active Components,ENGPHYS
ENGPHYS 3ES3,Introduction to Energy Systems,ENGPHYS
ENGPHYS 3H04A,Research Project in Engineering Physics,ENGPHYS
ENGPHYS 3SP3,Space Systems Engineering,ENGPHYS
ENGPHYS 3W03,Signals and Systems for Engineering,ENGPHYS
ENGPHYS 4A06A,Engineering Physics Design and Synthesis Project,ENGPHYS
ENGPHYS 4H04A,Research Project in Engineering Physics,ENGPHYS
ENGPHYS 4QC3,Introduction to Quantum Computing,ENGPHYS
ENGPHYS 4Z04,Semiconductor Manufacturing Technology,ENGPHYS
ENGSOCTY 2X03,Inquiry in an Engineering Context I,ENGSOCTY
ENGSOCTY 3Y03,Technology and Society,ENGSOCTY
ENGSOCTY 3Z03,Preventive Engineering: Environmental Perspectives,ENGSOCTY
ENGSOCTY 4X03A,Inquiry in an Engineering Context III,ENGSOCTY
ENGSOCTY 4Y03,Society Capstone Design,ENGSOCTY
ENGTECH 1CH3,Chemistry,ENGTECH
ENGTECH 1CP3,C++ Programming,ENGTECH
